Title,Author
Fahrenheit 451,Ray Bradbury
Brave New World,Aldous Huxley
1984,George Orwell
The Art of Travel,Alain de Botton
The Invisible Man,Ralph Ellison
The Metamorphosis,Franz Kafka
Fast Food Nation,Eric Schlosser
Ex Libris,Anne Fadiman
The Trial,Franz Kafka
Murder in the Cathedral,T.S. Eliot
The Chronicles of Narnia: The Magician’s Nephew,C.S. Lewis
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe",C.S. Lewis
Reefer Madness,Eric Schlosser
The Martian Chronicles,Ray Bradbury
Chronicles Volume One,Bob Dylan
Down the Highway: The Life of Bob Dylan,Howard Sounes
Cry of the Kalahari: Seven Years in Africa’s Last Great Wilderness,Mark and Delia Owens
