Title,Author
Death’s End,Liu Cixin
Do Androids Dream of Electric Sheep?,Philip K. Dick
Galactic Sibyl Sue Blue,Rosel George Brown
Picnic on Paradise,Joanna Russ
The World Jones Made,Philip K. Dick
And Chaos Died,Joanna Russ
High-Rise,J. G. Ballard
The Collapsing Empire,John Scalzi
Triad,Sheila Finch
Just Kids,Patti Smith
Anti-Arab Racism in the USA,Steven Salaita
Men Explain Things to Me,Rebecca Solnit
The Drowned World,J. G. Ballard
Definitely Maybe,Arkady and Boris Strugatsky
Tehanu,Ursula K. Le Guin
Last Futures,Douglas Murphy
The Starry Rift,"James Tiptree, Jr."
The Man Who Japed,Philip K. Dick
Style of Attack Report,Metropolarity
"Hope in the Dark: Untold Histories, Wild Possibilities",Rebecca Solnit
In Praise of Barbarians,Mike Davis
All the Shah’s Men: An American Coup and the Roots of Middle East Terror,Stephen Kinzer
Venus Plus X,Theodore Sturgeon
Broad Band: The Untold Story of the Women Who Made the Internet,Claire L. Evans
The Fifth Season,N. K. Jemisin
The Obelisk Gate,N. K. Jemisin
The Stone Sky,N. K. Jemisin
Stasiland: Stories from Behind the Berlin Wall, Anna Funder
Ways of Seeing,John Berger
The Ghosts of Berlin: Confronting German History in the Urban Landscape,Brian Ladd
The Mother of All Questions,Rebecca Solnit
On Photography,Susan Sontag
You’re on an Airplane: A Self-Mythologizing Memoir,Parker Posey
Carceral Capitalism,Jackie Wang
Camera Lucida: Reflections on Photography,Roland Barthes
Suite for Barbara Loden,Nathalie Léger
On Photography,Walter Benjamin (Esther Leslie translation)
