Title,Author
The Last Interview and Other Conversations,Octavia E. Butler
Wrong Way,Joanne McNeil
Limbo,Dan Fox
"The Long Way to a Small, Angry Planet",Becky Chambers
Art & Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles & Ted Orland
A Closed and Common Orbit,Becky Chambers
Record of a Spaceborn Few,Becky Chambers
Star Child: A Biographical Constellation of Octavia Estelle Butler,Ibi Zoboi
How Far the Light Reaches: A Life in Ten Sea Creatures,Sabrina Imbler
Beauty in Photography,Robert Adams
Alex Webb and Rebecca Norris Webb on Street Photography and the Poetic Image,Alex Webb and Rebecca Norris Webb
Mount Analogue,René Daumal
Le Dépays,Chris Marker
True Stories,Sophie Calle
Little Seed,Wei Tchou
"Catching the Big Fish: Meditation, Consciousness, and Creativity",David Lynch
On the Benefits of Friendship,Isabelle Graw
Empire of Signs,Roland Barthes
Ray’s a Laugh: A Reader,Liz Jobey (ed.)
Mary Ellen Mark on the Portrait and the Moment,Mary Ellen Mark
Woolgathering,Patti Smith
