Title,Author
The Futurological Congress,Stanislaw Lem
You Are Not A Gadget,Jaron Lanier
Grayson,Lynne Cox
Green Mars,Kim Stanley Robinson
The Nature of Smoke,Anne Harris
Parable of the Sower,Octavia E. Butler
The Man with the Compound Eyes,Wu Ming-Yi
More Than Human,Theodore Sturgeon
Parable of the Talents,Octavia E. Bulter
Paradises Lost,Ursula K. Le Guin
Peace on Earth,Stanislaw Lem
The Man Without a Face: The Unlikely Rise of Vladimir Putin,Masha Gessen
Adulthood Rites,Octavia E. Butler
Martian Time-Slip,Philip K. Dick
The Handmaid’s Tale,Margaret Atwood
Imago,Octavia E. Butler
Unexpected Stories,Octavia E. Butler
The Man in the High Castle,Philip K. Dick
The Queue,Basma Abdel Aziz
Fiasco,Stanislaw Lem
Hard to be a God,Arkady and Boris Strugatsky
Wild Seed,Octavia E. Butler
"Flow my tears, the policeman said",Philip K. Dick
Solaris,Stanislaw Lem
The Einstein Intersection,Samuel R. Delany
Mind of My Mind,Octavia E. Butler
Clay’s Ark,Octavia E. Butler
Patternmaster,Octavia E. Butler
Blue Mars,Kim Stanley Robinson
Octavia E. Butler,Gerry Canavan
Bloodchild and Other Stories,Octavia E. Butler
Tales of Pirx the Pilot,Stanislaw Lem
Fledgling,Octavia E. Butler
Survivor,Octavia E. Butler
The Doomed City,Arkady and Boris Strugatsky
Dreamsnake,Vonda N. McIntyre
Memoirs Found in a Bathtub,Stanislaw Lem
Dune,Frank Herbert
Normal,Warren Ellis
The Stars My Destination,Alfred Bester
Nova,Samuel R. Delany
Ice,Vladimir Sorokin
Zero History,William Gibson
Mona Lisa Overdrive,William Gibson
The Star Diaries,Stanislaw Lem
A Scanner Darkly,Philip K. Dick
Gold Fame Citrus,Claire Vaye Watkins
