Title,Author
The Complete Stories of Leonora Carrington,Leonora Carrington
Hiroshima Mon Amour,Marguerite Duras
The Way Through the Woods: On Mushrooms and Mourning,Long Litt Woon
The Wall Jumper: A Berlin Story,Peter Schneider
Lurking,Joanne McNeil
Agency,Willam Gibson
New Dark Age,James Bridle
Pulphead: Essays,John Jeremiah Sullivan
The Factory,Hiroko Oyamada
Why People Photograph,Robert Adams
Wild Seed,Octavia E. Butler
Mind of My Mind,Octavia E. Butler
Clay’s Ark,Octavia E. Butler
The Last Emperox,John Scalzi
Binti: The Night Masquerade,Nnedi Okorafor
