Title,Author
A Happy Death,Albert Camus
The Cheese Monkeys,Chip Kidd
Slaughterhouse-Five,Kurt Vonnegut
"God Bless You, Mr. Rosewater",Kurt Vonnegut
No One Belongs Here More Than You,Miranda July
Cat’s Cradle,Kurt Vonnegut
2001: A Space Odyssey,Arthur C. Clarke
Dharma Bums,Jack Kerouac
Timequake,Kurt Vonnegut
Harry Potter and the Deathly Hallows,J.K. Rowling
