Title,Author
In love with movies: from New Yorker films to Lincoln Plaza cinemas,Daniel Talbot
The Ministry for the Future,Kim Stanley Robinson
The Transmigration of Timothy Archer,Philip K. Dick
Radio Free Albemuth,Philip K. Dick
The Pine Barrens,John McPhee
Hard-Boiled Wonderland and the End of the World,Haruki Murakami
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman
Hit Parade of Tears,Izumi Suzuki
The Hidden Messages in Water,Masaru Emoto
The Library Book,Susan Orlean
Saving Time: Discovering a Life Beyond the Clock,Jenny Odell
Frankenstein in Baghdad,Ahmed Saadawi
The Dawn of Everything,David Graeber and David Wengrow
