Title,Author
Ender’s Game,Orson Scott Card
Nest in the Wind,Martha Ward
The Spirit Catches You and You Fall Down,Anne Fadiman
The Kite Runner,Khaled Hosseini
The Boy from Lam Kien,Miranda July
Breakfast of Champions,Kurt Vonnegut
The Curious Incident Of The Dog In The Night-Time,Mark Haddon
