Title,Author
Islands in the Sky,Arthur C. Clarke
A Man Without A Country,Kurt Vonnegut
Rendezvous with Rama,Arthur C. Clarke
Slam,Nick Hornby
This Book Will Save Your Life,A. M. Homes
RAMA II,Arthur C. Clarke & Gentry Lee
The People of Paper,Salvador Plascencia
Telex From Cuba,Rachel Kushner
The Garden of Rama,Arthur C. Clarke & Gentry Lee
Rama Revealed,Arthur C. Clarke & Gentry Lee
The Gunslinger,Stephen King
Bright Messengers,Gentry Lee
Double Full Moon Night,Gentry Lee
