Title,Author
This Book Will Save Your Life,A. M. Homes
The Internet Of Garbage,Sarah Jeong
Networks of New York,Ingrid Burrington
Seven Eves,Neal Stephenson
Aurora,Kim Stanley Robinson
Channel Blue,Jay Martel
