Title,Author
Me Talk Pretty One Day,David Sedaris
My Name is Asher Lev,Chaim Potok
The Hobbit,J.R.R. Tolkien
Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien
Lord of the Rings: The Two Towers,J.R.R. Tolkien
Lord of the Rings: The Return of the King,J.R.R. Tolkien
Walden,Henry David Thoreau
The Undiscovered Self,Carl Jung
The Awakening,Kate Chopin
Harry Potter and the Half Blood Prince,J.K. Rowling
"Winesburg, Ohio",Sherwood Anderson
