Title,Author
The Beautiful and Damned,F. Scott Fitzgerald
Man and Boy,Tony Parsons
Wide Sargasso Sea,Jean Rhys
Harry Potter and the Order of the Phoenix,J.K. Rowling
How Proust Can Change Your Life,Alain de Botton
The Stranger,Albert Camus
This Side of Paradise,F. Scott Fitzgerald
Ash Wednesday,Ethan Hawke
Franny & Zooey,J.D. Salinger
Nine Stories,J.D. Salinger
Star Wars: The New Jedi Order | Agents of Chaos I: Hero’s Trial,James Luceno
"Raise High the Roof Beam, Carpenter and Seymour an Introduction",J.D. Salinger
The Spirit Catches You and You Fall Down,Anne Fadiman
On the Road,Jack Kerouac
Rebecca,Daphne Du Maurier
