Title,Author
Same Bed Different Dreams,Ed Park
All Fours,Miranda July
Alphabetical Diaries,Sheila Heti
Too Much Too Young: The 2 Tone Records Story,Daniel Rachel
On Photographs,David Campany
Set My Heart on Fire,Izumi Suzuki
The Dispossessed,Ursula K. Le Guin
A Psalm for the Wild-Built,Becky Chambers
Garden of Ashes,Cookie Mueller
On the Silver Globe,Jerzy Zulawski
Tao Te Ching,Lao Tzu (Ursula K. Le Guin translation)
Lacuna Park – Essays and Other Adventures in Photography,Nicholas Muellner
Crying in H Mart,Michelle Zauner
White Noise,Don DeLillo
Steven Kaltenbach: Portrait of My Father,Jordan Stein
A Prayer for the Crown-Shy,Becky Chambers
